InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,71053,WHITE METAL LANTERN,14,2024-10-09 15:26:00,3.39,12007.0,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2024-10-09 15:26:00,3.39,12007.0,United Kingdom
536365,22633,HAND WARMER UNION JACK,19,2024-10-09 15:26:00,1.85,12007.0,United Kingdom
536365,23298,SPOTTY BUNTING,15,2024-10-09 15:26:00,4.95,12007.0,United Kingdom
536365,22423,REGENCY CAKESTAND 3 TIER,15,2024-10-09 15:26:00,12.75,12007.0,United Kingdom
536366,84406B,CREAM CUPID HEARTS COAT HANGER,18,2024-02-16 18:27:00,2.75,12041.0,United Kingdom
536366,23298,SPOTTY BUNTING,13,2024-02-16 18:27:00,4.95,12041.0,United Kingdom
536367,71053,WHITE METAL LANTERN,11,2024-10-27 14:26:00,3.39,12032.0,United Kingdom
536367,23203,JUMBO BAG DOILEY PATTERNS,2,2024-10-27 14:26:00,1.95,12032.0,United Kingdom
536368,22423,REGENCY CAKESTAND 3 TIER,7,2024-10-29 11:37:00,12.75,12068.0,United Kingdom
536368,71053,WHITE METAL LANTERN,19,2024-10-29 11:37:00,3.39,12068.0,United Kingdom
536368,21730,GLASS STAR FROSTED T-LIGHT HOLDER,17,2024-10-29 11:37:00,4.25,12068.0,United Kingdom
536368,22423,REGENCY CAKESTAND 3 TIER,15,2024-10-29 11:37:00,12.75,12068.0,United Kingdom
536369,22632,HAND WARMER RED POLKA DOT,3,2024-03-12 12:28:00,1.85,12060.0,United Kingdom
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2024-09-06 19:44:00,4.25,12059.0,United Kingdom
536370,23203,JUMBO BAG DOILEY PATTERNS,8,2024-09-06 19:44:00,1.95,12059.0,United Kingdom
536370,71053,WHITE METAL LANTERN,9,2024-09-06 19:44:00,3.39,12059.0,United Kingdom
536370,23298,SPOTTY BUNTING,4,2024-09-06 19:44:00,4.95,12059.0,United Kingdom
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2024-09-06 19:44:00,4.25,12059.0,United Kingdom
536371,47566,PARTY BUNTING,9,2024-06-22 11:13:00,4.65,12054.0,United Kingdom
536371,84406B,CREAM CUPID HEARTS COAT HANGER,16,2024-06-22 11:13:00,2.75,12054.0,United Kingdom
536371,85099B,JUMBO BAG RED RETROSPOT,14,2024-06-22 11:13:00,1.95,12054.0,United Kingdom
536371,71053,WHITE METAL LANTERN,6,2024-06-22 11:13:00,3.39,12054.0,United Kingdom
536372,23203,JUMBO BAG DOILEY PATTERNS,6,2024-10-30 13:48:00,1.95,12061.0,EIRE
536372,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2024-10-30 13:48:00,3.39,12061.0,EIRE
536373,23298,SPOTTY BUNTING,15,2024-02-21 17:11:00,4.95,12050.0,Germany
536374,22632,HAND WARMER RED POLKA DOT,9,2024-08-30 13:42:00,1.85,12062.0,United Kingdom
536374,22633,HAND WARMER UNION JACK,11,2024-08-30 13:42:00,1.85,12062.0,United Kingdom
536374,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-08-30 13:42:00,2.95,12062.0,United Kingdom
536374,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2024-08-30 13:42:00,3.39,12062.0,United Kingdom
536375,71053,WHITE METAL LANTERN,15,2024-08-31 15:28:00,3.39,12035.0,EIRE
